KEY,BK_AC_TYPE_ID,ICAO_TYPE_CODE,AC_CATEGORY,EQV_TYPE,EQV_NAME,ICAO_ENGINE_DESC,CO2_COEFF,MASS,BAND_FROM_NM,BAND_TO_NM,BAND_FLOOR_NM,FUEL_TOT,FUEL_TOT_MARG_RATE,CORR_FACTOR,CALC_RETURN_CODE,TINV,S,N,X_BAR,SXX,E,ERROR_TYPE,MASS_RATIO,ERROR_RATE_FUEL_PER_NM,AO_FUEL_VERSION_ID,CREA_DATE,CREA_NOTE,VALID_FROM,VALID_TO
CRJ7----,1117,CRJ7,"Jet <43,3T",AO SAMPLE,CRJ7,J,3.15,32963.59111,0,999999,0,531.2499513,3.561185245,1.159,,,,,,,,,,,5.1,,,,
CRJ9----,1610,CRJ9,"Jet <43,3T",AO SAMPLE,CRJ9,J,3.15,37694.71852,0,999999,0,574.3152512,3.683585503,1.159,,,,,,,,,,,5.1,,,,
CRJX----,3373,CRJX,"Jet <43,3T",AO SAMPLE,CRJX,J,3.15,38911.21378,0,999999,0,553.1015566,4.358997285,1.159,,,,,,,,,,,5.1,,,,
CVLP----,1612,CVLP,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,21125,0,999999,0,437.8352824,2.281729924,1.159,,,,,,,,,,,5.1,,,,
CVLT----,133,CVLT,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,25209.40029,0,999999,0,206.8428414,2.670537491,1.159,,,,,,,,,,,5.1,,,,
D228----,1122,D228,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,6045.394992,0,999999,0,94.64078484,1.068756343,1.159,,,,,,,,,,,5.1,,,,
D328----,631,D328,Turbo Prop,ANCAT WITH NEW MODEL,ANCAT,T,3.15,14044.85551,0,999999,0,149.9825177,1.783970153,1.159,,,,,,,,,,,5.1,,,,
DC10----,141,DC10,Heavy Jet,ANCAT WITH NEW MODEL,ANCAT,J,3.15,261083.7825,0,999999,0,1858.411435,17.69127107,1.159,,,,,,,,,,,5.1,,,,
DC2----,635,DC2,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,8405,0,999999,0,279.1488744,1.15288459,1.159,,,,,,,,,,,5.1,,,,
DC3----,1128,DC3,"Jet <43,3T",REG AVG_FUEL_PER_NM,"Jet <43,3T",P,3.1,11944.42212,0,999999,0,323.3043919,1.466993092,1.159,,,,,,,,,,,5.1,,,,
DC3T----,142,DC3T,Turbo Prop,REG AVG_FUEL_PER_NM,Turbo Prop,T,3.15,13068,0,999999,0,135.7569666,1.655725306,1.159,,,,,,,,,,,5.1,,,,
DC6----,1129,DC6,Jet <90T,REG AVG_FUEL_PER_NM,Jet <90T,P,3.1,46392.6076,0,999999,0,740.7053653,4.887957695,1.159,,,,,,,,,,,5.1,,,,
DC85----,143,DC85,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,148575.9637,0,999999,0,877.3405293,9.095204788,1.159,,,,,,,,,,,5.1,,,,
DC86----,637,DC86,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,156747.0246,0,999999,0,935.6939695,9.485487895,1.159,,,,,,,,,,,5.1,,,,
DC87----,1130,DC87,Heavy Jet,REG AVG_FUEL_PER_NM,Heavy Jet,J,3.15,158659.7626,0,999999,0,949.3537427,9.576848041,1.159,,,,,,,,,,,5.1,,,,
DC91----,1623,DC91,"Jet <43,3T",ANCAT WITH NEW MODEL,ANCAT,J,3.15,41405,0,999999,0,758.3228265,4.763160932,1.159,,,,,,,,,,,5.1,,,,
